project_short_name,case_barcode,sample_barcode,aliquot_barcode,HGNC_gene_symbol,gene_id,normalized_count,original_gene_symbol,platform
TCGA-KIRP,TCGA-5P-A9KF,TCGA-5P-A9KF-01A,TCGA-5P-A9KF-01A-11R-A42S-07,ERAP2,64167,621.9919,ERAP2,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-8098,TCGA-A4-8098-01A,TCGA-A4-8098-01A-11R-2404-07,MATN3,4148,99.8024,MATN3,IlluminaHiSeq
TCGA-KIRP,TCGA-GL-A9DC,TCGA-GL-A9DC-01A,TCGA-GL-A9DC-01A-11R-A37K-07,EFTUD1,79631,730.9786,EFTUD1,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-A47O,TCGA-B1-A47O-01A,TCGA-B1-A47O-01A-11R-A24Z-07,LHFPL3-AS2,723809,278.098,LOC723809,IlluminaHiSeq
TCGA-KIRP,TCGA-B3-A6W5,TCGA-B3-A6W5-01A,TCGA-B3-A6W5-01A-12R-A33Z-07,PRKAA1,5562,928.6765,PRKAA1,IlluminaHiSeq
TCGA-KIRP,TCGA-KV-A6GD,TCGA-KV-A6GD-01A,TCGA-KV-A6GD-01A-11R-A31O-07,C17orf97,400566,463.6591,C17orf97,IlluminaHiSeq
TCGA-KIRP,TCGA-Y8-A8RZ,TCGA-Y8-A8RZ-01A,TCGA-Y8-A8RZ-01A-11R-A37K-07,ARHGDIA,396,8631.9436,ARHGDIA,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-7062,TCGA-BQ-7062-01A,TCGA-BQ-7062-01A-11R-1965-07,PSMF1,9491,4026.9461,PSMF1,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9JN,TCGA-2Z-A9JN-01A,TCGA-2Z-A9JN-01A-21R-A42S-07,DPM2,8818,780.3938,DPM2,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J2,TCGA-2Z-A9J2-01A,TCGA-2Z-A9J2-01A-11R-A38C-07,MED16,10025,1891.8417,MED16,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-5883,TCGA-BQ-5883-01A,TCGA-BQ-5883-01A-11R-1592-07,SUGT1,10910,535.786,SUGT1,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-7734,TCGA-A4-7734-01A,TCGA-A4-7734-01A-11R-A32Z-07,PLEKHG6,55200,371.5645,PLEKHG6,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-A5W8,TCGA-B9-A5W8-01A,TCGA-B9-A5W8-01A-11R-A28H-07,KIAA0895L,653319,222.9053,KIAA0895L,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-4113,TCGA-B9-4113-01A,TCGA-B9-4113-01A-01R-1193-07,PIANP,196500,17.2349,C12orf53,IlluminaHiSeq
TCGA-KIRP,TCGA-F9-A97G,TCGA-F9-A97G-01A,TCGA-F9-A97G-01A-11R-A38C-07,COL6A4P2,646300,0.8843,COL6A4P2,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PO,TCGA-UZ-A9PO-01A,TCGA-UZ-A9PO-01A-11R-A38C-07,IFT27,11020,555.7431,IFT27,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-7734,TCGA-A4-7734-01A,TCGA-A4-7734-01A-11R-A32Z-07,PEX26,55670,662.2119,PEX26,IlluminaHiSeq
TCGA-KIRP,TCGA-DW-7838,TCGA-DW-7838-01A,TCGA-DW-7838-01A-11R-2139-07,HELQ,113510,175.6339,HELQ,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-4617,TCGA-B9-4617-01A,TCGA-B9-4617-01A-01R-1193-07,HLF,3131,1962.992,HLF,IlluminaHiSeq
TCGA-KIRP,TCGA-BQ-7060,TCGA-BQ-7060-01A,TCGA-BQ-7060-01A-11R-1965-07,PCDHA11,56138,167.3999,PCDHA11,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9K9,TCGA-5P-A9K9-01A,TCGA-5P-A9K9-01A-11R-A42S-07,SMNDC1,10285,710.2493,SMNDC1,IlluminaHiSeq
TCGA-KIRP,TCGA-IZ-8196,TCGA-IZ-8196-01A,TCGA-IZ-8196-01A-11R-2404-07,SLFN11,91607,641.5009,SLFN11,IlluminaHiSeq
